---------------------------------------------------------------------
Országos Egyesületi Váltóbajnokság 2016            V 2016.10.16. 2:57
Online monitor for intermediate times - Client - COM8:
-------------OS2010 © Stephan Krämer SportSoftware 2015--------------

	Read at 	Control 	Chip 	Punch 	Error 
	12:49:06 	Finish 	339801 	12:49:03 	 
	12:49:43 	Finish 	222916 	12:49:39 	 
	12:49:49 	Finish 	307731 	12:49:46 	 
	12:50:14 	Finish 	2032064 	12:50:11 	 
	12:50:21 	Finish 	9999902 	12:50:17 	 
	12:50:24 	Finish 	2032070 	12:50:21 	 
	12:50:28 	Finish 	2066464 	12:50:25 	 
	12:50:32 	Finish 	2066486 	12:50:29 	 
	12:50:34 	Finish 	2066470 	12:50:31 	 
	12:51:10 	Finish 	1418065 	12:51:07 	 
	12:51:14 	Finish 	2037760 	12:51:10 	 
	12:51:22 	Finish 	443163 	12:51:18 	 
	12:51:25 	Finish 	907 	12:51:21 	 
	12:51:30 	Finish 	4502 	12:51:26 	 
	12:51:37 	Finish 	1418058 	12:51:34 	 
	12:51:42 	Finish 	2050691 	12:51:38 	 
	12:52:05 	Finish 	45545 	12:52:01 	 
	12:52:11 	Finish 	2072250 	12:52:08 	 
	12:52:15 	Finish 	307530 	12:52:11 	 
	12:52:16 	Finish 	1396228 	12:52:13 	 
	12:52:19 	Finish 	339863 	12:52:16 	 
	12:52:29 	Finish 	1418069 	12:52:25 	 
	12:52:34 	Finish 	2032063 	12:52:30 	 
	12:52:51 	Finish 	2054406 	12:52:47 	 
	12:53:17 	Finish 	9010701 	12:53:13 	 
	12:53:18 	Finish 	9122399 	12:53:14 	 
	12:53:52 	Finish 	2072206 	12:53:49 	 
	12:53:55 	Finish 	1396227 	12:53:51 	 
	12:54:12 	Finish 	2032069 	12:54:09 	 
	12:54:18 	Finish 	2066490 	12:54:15 	 
	12:54:59 	Finish 	46136 	12:54:55 	 
	12:55:47 	Finish 	894 	12:55:43 	 
	12:55:49 	Finish 	2037812 	12:55:46 	 
	12:55:59 	Finish 	45118 	12:55:56 	 
	12:56:15 	Finish 	2061648 	12:56:12 	 
	12:56:17 	Finish 	1396118 	12:56:13 	 
	12:56:48 	Finish 	2009120 	12:56:45 	 
	12:56:51 	Finish 	2015002 	12:56:48 	 
	12:57:05 	Finish 	505283 	12:57:02 	 
	12:57:17 	Finish 	2082349 	12:57:14 	 
	12:57:43 	Finish 	1396132 	12:57:39 	 
	12:57:50 	Finish 	233583 	12:57:47 	 
	12:57:58 	Finish 	2088245 	12:57:54 	 
	12:58:07 	Finish 	2015020 	12:58:04 	 
	12:58:19 	Finish 	2032055 	12:58:16 	 
	12:59:17 	Finish 	2087745 	12:59:14 	 
	12:59:37 	Finish 	8211055 	12:59:34 	 
	12:59:41 	Finish 	888362 	12:59:37 	 
	12:59:52 	Finish 	45481 	12:59:49 	 
	12:59:54 	Finish 	2072224 	12:59:50 	 
	13:00:05 	Finish 	45375 	13:00:02 	 
	13:00:31 	Finish 	2079337 	13:00:28 	 
	13:00:32 	Finish 	45470 	13:00:29 	 
	13:00:48 	Finish 	4714764 	13:00:45 	 
	13:00:50 	Finish 	2088251 	13:00:46 	 
	13:01:27 	Finish 	2069578 	13:01:23 	 
	13:01:28 	Finish 	888364 	13:01:24 	 
	13:01:30 	Finish 	9005062 	13:01:27 	 
	13:01:34 	Finish 	2072220 	13:01:31 	 
	13:02:03 	Finish 	2082395 	13:02:00 	 
	13:02:06 	Finish 	2037759 	13:02:03 	 
	13:02:11 	Finish 	45206 	13:02:08 	 
	13:02:15 	Finish 	8190666 	13:02:11 	 
	13:02:18 	Finish 	45292 	13:02:14 	 
	13:02:27 	Finish 	2037804 	13:02:23 	 
	13:02:38 	Finish 	232822 	13:02:35 	 
	13:02:44 	Finish 	4512 	13:02:40 	 
	13:02:46 	Finish 	1418064 	13:02:43 	 
	13:03:15 	Finish 	505296 	13:03:12 	 
	13:03:20 	Finish 	45455 	13:03:16 	 
	13:03:35 	Finish 	443187 	13:03:31 	 
	13:03:50 	Finish 	8020802 	13:03:47 	 
	13:04:10 	Finish 	307785 	13:04:07 	 
	13:04:15 	Finish 	2082342 	13:04:12 	 
	13:04:27 	Finish 	8055500 	13:04:24 	 
	13:04:31 	Finish 	2069576 	13:04:28 	 
	13:04:50 	Finish 	9195777 	13:04:46 	 
	13:04:59 	Finish 	2056161 	13:04:55 	 
	13:05:06 	Finish 	2082339 	13:05:03 	 
	13:05:22 	Finish 	2072288 	13:05:19 	 
	13:05:27 	Finish 	233618 	13:05:23 	 
	13:05:31 	Finish 	9010622 	13:05:28 	 
	13:05:32 	Finish 	2022200 	13:05:29 	 
	13:05:47 	Finish 	2026880 	13:05:44 	 
	13:06:01 	Finish 	2082331 	13:05:58 	 
	13:06:32 	Finish 	8636780 	13:06:28 	 
	13:06:55 	Finish 	8035704 	13:06:51 	 
	13:07:11 	Finish 	8020217 	13:07:08 	 
	13:07:17 	Finish 	2037711 	13:07:14 	 
	13:08:15 	Finish 	700001 	13:08:11 	 
	13:09:28 	Finish 	9010720 	13:09:25 	 
	13:09:39 	Finish 	7970817 	13:09:35 	 
	13:09:56 	Finish 	2037750 	13:09:52 	 
	13:10:25 	Finish 	2022143 	13:10:22 	 
	13:11:29 	Finish 	927 	13:11:26 	 
	13:11:37 	Finish 	4714768 	13:11:33 	 
	13:11:39 	Finish 	2037763 	13:11:36 	 
	13:12:31 	Finish 	45582 	13:12:27 	 
	13:13:06 	Finish 	2015000 	13:13:03 	 
	13:14:06 	Finish 	2009108 	13:14:03 	 
	13:14:23 	Finish 	2072517 	13:14:20 	 
